post_url,type,date,tags,note_count
http://elriz.com/post/162551101487/suvarnabhumi-airport-thailand-gif,photo,2017-07-03 14:29:48 GMT,"['gif', 'thailand', 'bangkok', 'travel', 'photographers on tumblr', 'airport', 'bit by bit because lately we have no weekends like literally and we work from 7am to 10pm but no complaint though para sa ekonimiya']",32
http://elriz.com/post/162511104497/thai-pork-and-beef-boat-noodles-elriz-buenaventura,photo,2017-07-02 14:28:50 GMT,"['food', 'thai', 'thai food', 'boat noodles', 'photographers on tumblr', 'noodles', 'bangkok', 'bangkok food', 'thailand food', 'thailand']",61
http://elriz.com/post/162511103232/phra-buddha-theva-patimakorn-wat-pho-ubosot-thailand,photo,2017-07-02 14:28:47 GMT,"['buddha', 'buddhism', 'thailand', 'travel', 'photographers on tumblr', 'wat pho', 'phra buddha', 'phra buddha theva patimakorn']",92
http://elriz.com/post/162511099562/the-royal-pantheon-wat-phra-kaew-bangkok-thailand-elriz,photo,2017-07-02 14:28:38 GMT,"['thailand', 'buddhism', 'travel', 'architecture', 'photographers on tumblr', 'bangkok', 'wat', 'buddhist temple', 'wat phra kaew', 'wat phra kaeo', 'the royal pantheon']",50
http://elriz.com/post/162396247352/reclining-buddha-wat-pho-bangkok-thailand,photo,2017-06-29 13:54:20 GMT,"['buddha', 'buddhism', 'thailand', 'travel', 'photographers on tumblr', 'bangkok', 'reclining buddha', 'reclining buddha wat pho']",38
http://elriz.com/post/162391308842/answer-20-questions-and-tag-20-people,text,2017-06-29 09:51:13 GMT,"['tag game', '20 questions']",27
http://elriz.com/post/162358306447/suvarnabhumi-airport-bkk,photo,2017-06-28 14:44:02 GMT,"['gif', 'travel', 'city', 'landscape', 'thailand', 'photographers on tumblr', 'artists on tumblr', 'wing', 'airplane', 'bangkok']",63
http://elriz.com/post/162358302982/buddha-wat-pho-bangkok-thailand,photo,2017-06-28 14:43:55 GMT,"['buddha', 'buddhism', 'black and white', 'travel', 'photographers on tumblr', 'thailand', 'bangkok', 'wat pho', 'grain', 'seated buddha']",47
http://elriz.com/post/162317338007/view-from-airplane-clouds,photo,2017-06-27 13:53:16 GMT,"['gif', 'clouds', 'sky', 'artists on tumblr', 'landscape', 'photographers on tumblr', 'hq', 'flying', 'airplane', 'southeast asia', 'asia']",64
http://elriz.com/post/162236520842/stupa-wat-pho-bangkok-thailand,photo,2017-06-25 13:14:23 GMT,"['buddhism', 'architecture', 'thailand', 'travel', 'photographers on tumblr', 'wat pho', 'bangkok', 'stupa']",65
http://elriz.com/post/162236519122/inside-the-reclining-buddha-temple-wat-pho-bangkok,photo,2017-06-25 13:14:19 GMT,"['thailand', 'bangkok', 'travel', 'photographers on tumblr', 'buddhist temple', 'reclining buddha', 'wat pho']",72
http://elriz.com/post/162236517217/wat-pho-temple-bangkok-thailand,photo,2017-06-25 13:14:15 GMT,"['thailand', 'buddhism', 'travel', 'bankok', 'wat pho', 'buddhist temple', 'chedi', 'wat', 'temple', 'photographers on tumblr']",64
